,Date,Timestamp,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,bsc,manta,taiko,op_bnb,Total,bsc,bsc,manta,manta,manta,taiko,taiko,op_bnb,op_bnb,Total,Total,Total,Total,Total,Total,Total,bsc,bsc,manta,manta,manta,taiko,taiko,op_bnb,op_bnb,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,USDT,FDUSD,USDT,STONE,MANTA,usd-coin,USDC,USDT,WBNB,USDT,STONE,usd-coin,USDC,MANTA,FDUSD,WBNB,USDT,FDUSD,USDT,STONE,MANTA,usd-coin,USDC,USDT,WBNB,USDT,STONE,usd-coin,USDC,MANTA,FDUSD,WBNB
,09/10/2023,1696809600,55576.76443453515,,,,55576.76443453515,55576.76443453515,,,,,,,,,55576.76443453515,,,,,,,55521.24319134381,,,,,,,,,55521.24319134381,,,,,,
,10/10/2023,1696896000,50502.478702446715,,,,50502.478702446715,50502.478702446715,,,,,,,,,50502.478702446715,,,,,,,50502.478702446715,,,,,,,,,50502.478702446715,,,,,,
,11/10/2023,1696982400,53021.17641616553,,,,53021.17641616553,53021.17641616553,,,,,,,,,53021.17641616553,,,,,,,53021.17641616553,,,,,,,,,53021.17641616553,,,,,,
,12/10/2023,1697068800,53338.910334638495,,,,53338.910334638495,53338.910334638495,,,,,,,,,53338.910334638495,,,,,,,53349.47353039752,,,,,,,,,53349.47353039752,,,,,,
,13/10/2023,1697155200,59133.337346909735,,,,59133.337346909735,59133.337346909735,,,,,,,,,59133.337346909735,,,,,,,59134.046955473204,,,,,,,,,59134.046955473204,,,,,,
,14/10/2023,1697241600,55713.09632767102,,,,55713.09632767102,55713.09632767102,,,,,,,,,55713.09632767102,,,,,,,55731.65496877562,,,,,,,,,55731.65496877562,,,,,,
,15/10/2023,1697328000,275359.90633450623,,,,275359.90633450623,275359.90633450623,,,,,,,,,275359.90633450623,,,,,,,275359.90633450623,,,,,,,,,275359.90633450623,,,,,,
,16/10/2023,1697414400,165491.02649209552,,,,165491.02649209552,165491.02649209552,,,,,,,,,165491.02649209552,,,,,,,165491.02649209552,,,,,,,,,165491.02649209552,,,,,,
,17/10/2023,1697500800,164575.18040524994,,,,164575.18040524994,164575.18040524994,,,,,,,,,164575.18040524994,,,,,,,164410.76963561433,,,,,,,,,164410.76963561433,,,,,,
,18/10/2023,1697587200,166050.1742520608,,,,166050.1742520608,166050.1742520608,,,,,,,,,166050.1742520608,,,,,,,166050.1742520608,,,,,,,,,166050.1742520608,,,,,,
,19/10/2023,1697673600,265613.31383423175,,,,265613.31383423175,265613.31383423175,,,,,,,,,265613.31383423175,,,,,,,265613.31383423175,,,,,,,,,265613.31383423175,,,,,,
,20/10/2023,1697760000,273033.7287155384,,,,273033.7287155384,273033.7287155384,,,,,,,,,273033.7287155384,,,,,,,272760.9677477906,,,,,,,,,272760.9677477906,,,,,,
,21/10/2023,1697846400,270209.7228715673,,,,270209.7228715673,270209.7228715673,,,,,,,,,270209.7228715673,,,,,,,270209.7228715673,,,,,,,,,270209.7228715673,,,,,,
,22/10/2023,1697932800,274058.7494020366,,,,274058.7494020366,274058.7494020366,,,,,,,,,274058.7494020366,,,,,,,274058.7494020366,,,,,,,,,274058.7494020366,,,,,,
,23/10/2023,1698019200,277854.26055996347,,,,277854.26055996347,277854.26055996347,,,,,,,,,277854.26055996347,,,,,,,277854.26055996347,,,,,,,,,277854.26055996347,,,,,,
,24/10/2023,1698105600,289562.5949005825,,,,289562.5949005825,289562.5949005825,,,,,,,,,289562.5949005825,,,,,,,288696.50538442924,,,,,,,,,288696.50538442924,,,,,,
,25/10/2023,1698192000,287454.8166288901,,,,287454.8166288901,287454.8166288901,,,,,,,,,287454.8166288901,,,,,,,287522.6719794773,,,,,,,,,287522.6719794773,,,,,,
,26/10/2023,1698278400,290228.7443244267,,,,290228.7443244267,290228.7443244267,,,,,,,,,290228.7443244267,,,,,,,290228.7443244267,,,,,,,,,290228.7443244267,,,,,,
,27/10/2023,1698364800,293800.0445950052,,,,293800.0445950052,293800.0445950052,,,,,,,,,293800.0445950052,,,,,,,293969.37095267395,,,,,,,,,293969.37095267395,,,,,,
,28/10/2023,1698451200,295336.79319496505,,,,295336.79319496505,295336.79319496505,,,,,,,,,295336.79319496505,,,,,,,295336.79319496505,,,,,,,,,295336.79319496505,,,,,,
,29/10/2023,1698537600,335452.2632338478,,,,335452.2632338478,335452.2632338478,,,,,,,,,335452.2632338478,,,,,,,335685.9006206798,,,,,,,,,335685.9006206798,,,,,,
,30/10/2023,1698624000,335849.72349082975,,,,335849.72349082975,335849.72349082975,,,,,,,,,335849.72349082975,,,,,,,335849.72349082975,,,,,,,,,335849.72349082975,,,,,,
,31/10/2023,1698710400,631484.8722374549,576434.690237,,379689.31384017435,1587608.8763146293,631484.8722374549,,576434.690237,,,,,379689.31384017435,,1587608.8763146293,,,,,,,631484.8722374549,,576434.690237,,,,,379689.31384017435,,1587608.8763146293,,,,,,
,01/11/2023,1698796800,309838.15311018843,,,,309838.15311018843,309838.15311018843,,,,,,,,,309838.15311018843,,,,,,,309528.6244857028,,,,,,,,,309528.6244857028,,,,,,
,02/11/2023,1698883200,428816.09007475566,,,,428816.09007475566,428816.09007475566,,,,,,,,,428816.09007475566,,,,,,,428816.09007475566,,,,,,,,,428816.09007475566,,,,,,
,03/11/2023,1698969600,634823.3061135074,583040.791856,,384475.2093546625,1602339.30732417,634823.3061135074,,583040.791856,,,,,384475.2093546625,,1602339.30732417,,,,,,,634189.1169965109,,583040.791856,,,,,384091.11823642615,,1601321.027088937,,,,,,
,04/11/2023,1699056000,636724.440582805,547604.5219604959,,382261.9727493628,1566590.9352926635,634832.4537854084,,576992.820828,,,,,379100.60162229434,,1590925.8762357025,,,,,,,634832.4537854084,,576992.820828,,,,,379100.60162229434,,1590925.8762357025,,,,,,
,05/11/2023,1699142400,678573.5164516233,565895.578651,,437268.2255798615,1681737.320682485,669395.9164882727,,557683.392341075,,,,,411203.8684925666,,1638283.1773219144,,,,,,,668727.1892989738,,557126.266075,,,,,410793.07541714946,,1636646.5307911234,,,,,,
,06/11/2023,1699228800,699713.0892568423,573475.935050018,,502488.58185592684,1775677.606162787,697017.3125724643,,567210.568217293,,,,,495984.3440911649,,1760212.2248809221,,,,,,,696320.9915808835,,566643.924293,,,,,495488.855235929,,1758453.7711098127,,,,,,
,07/11/2023,1699315200,771228.132030159,582959.997504,,498547.5658922376,1852735.6954263966,771228.132030159,,582959.997504,,,,,498547.5658922376,,1852735.6954263966,,,,,,,771228.132030159,,582959.997504,,,,,498547.5658922376,,1852735.6954263966,,,,,,
,08/11/2023,1699401600,674817.4911962443,604012.980732,,496750.87138016056,1775581.3433084048,674817.4911962443,,604012.980732,,,,,496750.87138016056,,1775581.3433084048,,,,,,,674817.4911962443,,604012.980732,,,,,496750.87138016056,,1775581.3433084048,,,,,,
,09/11/2023,1699488000,568871.5523126433,658214.6897385635,,703142.3945796342,1930228.6366308408,568871.5523126433,,658214.6897385635,,,,,703142.3945796342,,1930228.6366308408,,,,,,,569683.3510879435,,659153.984166,,,,,704145.8023479801,,1932983.1376019237,,,,,,
,10/11/2023,1699574400,604111.0992666204,745542.5643275924,,609027.9659616486,1958681.6295558615,604111.0992666204,,745542.5643275924,,,,,609027.9659616486,,1958681.6295558615,,,,,,,604239.1979765914,,745700.652866,,,,,609157.1072683895,,1959096.9581109807,,,,,,
,11/11/2023,1699660800,599578.3252122106,810327.00558,,665109.4994430424,2075014.830235253,599578.3252122106,,810327.00558,,,,,665109.4994430424,,2075014.830235253,,,,,,,599578.3252122106,,810327.00558,,,,,664445.0543886538,,2074350.3851808645,,,,,,
,12/11/2023,1699747200,611414.4297404386,804325.158222,,716803.8325906409,2132543.4205530793,611414.4297404386,,804325.158222,,,,,716803.8325906409,,2132543.4205530793,,,,,,,610803.6261143243,,804325.158222,,,,,716087.7448457952,,2131216.5291821198,,,,,,
